"filename", "language", "PHP", "HTML", "CSS", "JavaScript", "JSON", "XML", "comment", "blank", "total"
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\.idea\dataSources.local.xml", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 11
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\.idea\dataSources.xml", "XML", 0, 0, 0, 0, 0, 12, 0, 0, 12
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\.idea\inspectionProfiles\Project_Default.xml", "XML", 0, 0, 0, 0, 0, 22, 0, 0, 22
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\.idea\modules.xml", "XML", 0, 0, 0, 0, 0, 8, 0, 0, 8
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\.idea\php.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 6
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\.idea\sqlxy.iml", "XML", 0, 0, 0, 0, 0, 8, 0, 0, 8
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 6
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\.idea\workspace.xml", "XML", 0, 0, 0, 0, 0, 260, 0, 0, 260
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\css\LoginRegister\StudentLogin.css", "CSS", 0, 0, 142, 0, 0, 0, 2, 22, 166
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\css\LoginRegister\index.css", "CSS", 0, 0, 62, 0, 0, 0, 2, 0, 64
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\css\Student\ExamTemplate.css", "CSS", 0, 0, 148, 0, 0, 0, 6, 19, 173
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\css\Student\changepwd.css", "CSS", 0, 0, 126, 0, 0, 0, 0, 19, 145
"d:\phpstudy_pro_v8\phpstudy_pro\WWW\sqlxy\css\Student\myGrades.css", "CSS", 0, 0, 267, 0, 0, 0, 14, 34, 315
